Date,Synthetic_TQQQ_Close
2000-01-03,10.0
2000-01-04,9.519159752012024
2000-01-05,9.865047305140642
2000-01-06,10.313319774400453
2000-01-07,9.383724609521275
2000-01-10,8.818373316024465
2000-01-11,8.877537308466838
2000-01-12,8.751071453583712
2000-01-13,8.749915679916542
2000-01-14,8.405338959723576
2000-01-17,8.76263500426066
2000-01-18,9.092492174093337
2000-01-19,9.126896304876626
2000-01-20,9.623463239652986
2000-01-21,9.843226652532557
2000-01-24,9.452727092452223
2000-01-25,9.624184282383379
2000-01-26,9.19772420226292
2000-01-27,9.588285487145075
2000-01-28,9.572017883139521
2000-01-31,9.494853347608597
2000-02-01,9.197240106860962
2000-02-02,9.739828068218022
2000-02-03,9.675234817853845
2000-02-04,9.486457421343918
2000-02-07,9.335311764702084
2000-02-08,9.57730760453816
2000-02-09,9.7495192156
2000-02-10,9.946748512920276
2000-02-11,10.156526787975823
2000-02-14,11.208690270899377
2000-02-15,11.001523836470223
2000-02-16,10.743563713767209
2000-02-17,10.340154154447752
2000-02-18,10.649454154904172
2000-02-21,11.229745672123359
2000-02-22,11.176762046546354
2000-02-23,10.743331402780743
2000-02-24,10.334563624120857
2000-02-25,10.660770173527057
2000-02-28,11.044470509184684
2000-02-29,11.336480685121474
2000-03-01,10.989315850753659
2000-03-02,11.117374542505816
2000-03-03,11.186091358953492
2000-03-06,11.30929584706886
2000-03-07,11.785715775879487
2000-03-08,11.918267048386188
2000-03-09,12.310581181716424
2000-03-10,12.358063625831127
2000-03-13,12.535472680533637
2000-03-14,12.919598363681578
2000-03-15,12.048632539198449
2000-03-16,11.875050097531656
2000-03-17,11.619923124668805
2000-03-20,11.278552829015695
2000-03-21,11.139687190104986
2000-03-22,11.943368499974163
2000-03-23,11.465911669371607
2000-03-24,12.002171942621498
2000-03-27,11.068159486603035
2000-03-28,10.900785965657361
2000-03-29,10.991947117508479
2000-03-30,11.30513978898287
2000-03-31,11.694724565757982
2000-04-03,12.143659848750989
2000-04-04,11.952122816295484
2000-04-05,11.699837154126607
2000-04-06,12.185169171276698
2000-04-07,12.083240295728752
2000-04-10,11.370072350540761
2000-04-11,10.774071367226854
2000-04-12,10.316439330339172
2000-04-13,10.566593553100171
2000-04-14,10.644785228554959
2000-04-17,11.001064239777799
2000-04-18,10.78697325377614
2000-04-19,10.875029381190979
2000-04-20,11.20531660721479
2000-04-21,11.049323824668178
2000-04-24,11.296002698811984
2000-04-25,10.95197060912758
2000-04-26,10.771855161923103
2000-04-27,10.58524655205655
2000-04-28,9.999663380771029
2000-05-01,10.237284467448942
2000-05-02,10.017809676522708
2000-05-03,10.030354731474294
2000-05-04,10.265731519990588
2000-05-05,10.489911395632989
2000-05-08,10.828430627545659
2000-05-09,10.785239359194446
2000-05-10,10.577350493170716
2000-05-11,10.544528361543389
2000-05-12,9.721783675766936
2000-05-15,9.07090610017862
2000-05-16,8.515785311876204
2000-05-17,8.123237014515961
2000-05-18,8.282560857378126
2000-05-19,7.936147673820979
2000-05-22,7.799996947157126
2000-05-23,8.288988847402196
2000-05-24,8.155313272315839
2000-05-25,8.446600146926771
2000-05-26,8.082255858120021
2000-05-29,8.009266624927017
2000-05-30,7.657669239756425
2000-05-31,7.540376272380824
2000-06-01,7.846785412929454
2000-06-02,7.220100201151835
2000-06-05,7.373610707835199
2000-06-06,7.461485090383632
2000-06-07,7.25790031628207
2000-06-08,6.772334354816958
2000-06-09,6.799913454416535
2000-06-12,6.634973478293336
2000-06-13,6.712452974677117
2000-06-14,6.723828052857402
2000-06-15,7.243708879437891
2000-06-16,7.166722398038365
2000-06-19,6.827611148938866
2000-06-20,6.890054508534806
2000-06-21,6.966369497112634
2000-06-22,7.423256767028291
2000-06-23,7.723059396121199
2000-06-26,7.8587826782188825
2000-06-27,8.41373384254234
2000-06-28,7.95104160166081
2000-06-29,7.717130779936057
2000-06-30,7.3867828451781445
2000-07-03,7.25601565510373
